Name,City,Country,IATA,ICAO,Latitude,Longitude,Altitude,Timezone,DST,Tz database timezone,Type,Source,run_id,load_timestamp,source
Garba Tula Airport,Garba Tula,Kenya,\N,HKGT,0.533333,38.516667,2000,3,U,Africa/Nairobi,airport,OurAirports,4c5cf1b2-1b68-4ed6-8b1d-3df6d338a5c5,2026-06-29 14:30:06,https://raw.githubusercontent.com/jpatokal/openflights/master/data/airports.dat
Garissa Airport,Garissa,Kenya,GAS,HKGA,-0.4635080099105835,39.64830017089844,475,3,U,Africa/Nairobi,airport,OurAirports,4c5cf1b2-1b68-4ed6-8b1d-3df6d338a5c5,2026-06-29 14:30:06,https://raw.githubusercontent.com/jpatokal/openflights/master/data/airports.dat
Hola Airport,Hola,Kenya,HOA,HKHO,-1.5219999551773071,40.00400161743164,195,3,U,Africa/Nairobi,airport,OurAirports,4c5cf1b2-1b68-4ed6-8b1d-3df6d338a5c5,2026-06-29 14:30:06,https://raw.githubusercontent.com/jpatokal/openflights/master/data/airports.dat
Homa Bay Airport,Homa Bay,Kenya,\N,HKHB,-0.6000000238418579,34.46699905395508,4280,3,U,Africa/Nairobi,airport,OurAirports,4c5cf1b2-1b68-4ed6-8b1d-3df6d338a5c5,2026-06-29 14:30:06,https://raw.githubusercontent.com/jpatokal/openflights/master/data/airports.dat
Isiolo Airport,Isiolo,Kenya,\N,HKIS,0.3381709456443786,37.59169387817383,3495,3,U,Africa/Nairobi,airport,OurAirports,4c5cf1b2-1b68-4ed6-8b1d-3df6d338a5c5,2026-06-29 14:30:06,https://raw.githubusercontent.com/jpatokal/openflights/master/data/airports.dat
Kericho Airport,Kericho,Kenya,KEY,HKKR,-0.3899,35.242093,6446,3,U,Africa/Nairobi,airport,OurAirports,4c5cf1b2-1b68-4ed6-8b1d-3df6d338a5c5,2026-06-29 14:30:06,https://raw.githubusercontent.com/jpatokal/openflights/master/data/airports.dat
Kilaguni Airport,Kilaguni,Kenya,ILU,HKKL,-2.9106099605560303,38.06520080566406,2750,3,U,Africa/Nairobi,airport,OurAirports,4c5cf1b2-1b68-4ed6-8b1d-3df6d338a5c5,2026-06-29 14:30:06,https://raw.githubusercontent.com/jpatokal/openflights/master/data/airports.dat
Antsirabe Airport,Antsirabe,Madagascar,ATJ,FMME,-19.8392214824,47.0637130737,4997,3,U,Indian/Antananarivo,airport,OurAirports,4c5cf1b2-1b68-4ed6-8b1d-3df6d338a5c5,2026-06-29 14:30:06,https://raw.githubusercontent.com/jpatokal/openflights/master/data/airports.dat
Bekily Airport,Bekily,Madagascar,OVA,FMSL,-24.235694754699995,45.3045272827,1270,3,U,Indian/Antananarivo,airport,OurAirports,4c5cf1b2-1b68-4ed6-8b1d-3df6d338a5c5,2026-06-29 14:30:06,https://raw.githubusercontent.com/jpatokal/openflights/master/data/airports.dat
Ust-Tsylma Airport,Ust-Tsylma,Russia,UTS,UUYX,65.43729400630001,52.20033645629999,262,3,N,Europe/Moscow,airport,OurAirports,4c5cf1b2-1b68-4ed6-8b1d-3df6d338a5c5,2026-06-29 14:30:06,https://raw.githubusercontent.com/jpatokal/openflights/master/data/airports.dat
